freq_threshold,binarization_threshold,max_dt_depth,composition_strategy,rule_size,mean_offdiag_iou,max_offdiag_iou,summed_root_volume,domain_root_volume,class_root_volumes,val_accuracy,test_accuracy
0.02,0.005,9,ilp_optimal,102,0.157417,0.438014,94.334107,7.704167,9.692423;28.238361;56.403324,0.913738,0.808612
0.02,0.005,10,greedy_cover,101,0.208393,0.508245,90.602189,7.704167,9.365421;24.833444;56.403324,0.918530,0.814992
0.02,0.005,10,ilp_optimal,102,0.157417,0.438014,94.334107,7.704167,9.692423;28.238361;56.403324,0.913738,0.808612
0.02,0.01,4,greedy_cover,102,0.209693,0.510959,91.388898,7.704167,9.365421;25.531430;56.492047,0.918530,0.826156
0.02,0.01,4,ilp_optimal,102,0.158348,0.441469,94.987785,7.704167,9.692423;28.803315;56.492047,0.913738,0.814992
0.02,0.01,5,greedy_cover,102,0.209693,0.510959,91.388898,7.704167,9.365421;25.531430;56.492047,0.918530,0.826156
0.02,0.01,5,ilp_optimal,102,0.158348,0.441469,94.987785,7.704167,9.692423;28.803315;56.492047,0.913738,0.814992
0.02,0.01,6,greedy_cover,102,0.209693,0.510959,91.388898,7.704167,9.365421;25.531430;56.492047,0.918530,0.826156
0.02,0.01,6,ilp_optimal,102,0.158348,0.441469,94.987785,7.704167,9.692423;28.803315;56.492047,0.913738,0.814992
0.02,0.01,7,greedy_cover,102,0.209693,0.510959,91.388898,7.704167,9.365421;25.531430;56.492047,0.918530,0.826156
0.02,0.01,7,ilp_optimal,102,0.158348,0.441469,94.987785,7.704167,9.692423;28.803315;56.492047,0.913738,0.814992
0.02,0.01,8,greedy_cover,102,0.209693,0.510959,91.388898,7.704167,9.365421;25.531430;56.492047,0.918530,0.826156
0.02,0.01,8,ilp_optimal,102,0.158348,0.441469,94.987785,7.704167,9.692423;28.803315;56.492047,0.913738,0.814992
0.02,0.01,9,greedy_cover,102,0.209693,0.510959,91.388898,7.704167,9.365421;25.531430;56.492047,0.918530,0.826156
0.02,0.01,9,ilp_optimal,102,0.158348,0.441469,94.987785,7.704167,9.692423;28.803315;56.492047,0.913738,0.814992
0.02,0.01,10,greedy_cover,102,0.209693,0.510959,91.388898,7.704167,9.365421;25.531430;56.492047,0.918530,0.826156
0.02,0.01,10,ilp_optimal,102,0.158348,0.441469,94.987785,7.704167,9.692423;28.803315;56.492047,0.913738,0.814992
0.02,0.02,4,greedy_cover,101,0.208884,0.510026,90.922239,7.704167,9.365421;24.764838;56.791980,0.918530,0.822967
0.02,0.02,4,ilp_optimal,102,0.157841,0.439439,94.654157,7.704167,9.692423;28.169754;56.791980,0.913738,0.816587
0.02,0.02,5,greedy_cover,101,0.208884,0.510026,90.922239,7.704167,9.365421;24.764838;56.791980,0.918530,0.822967
0.02,0.02,5,ilp_optimal,102,0.157841,0.439439,94.654157,7.704167,9.692423;28.169754;56.791980,0.913738,0.816587
0.02,0.02,6,greedy_cover,101,0.208884,0.510026,90.922239,7.704167,9.365421;24.764838;56.791980,0.918530,0.822967
0.02,0.02,6,ilp_optimal,102,0.157841,0.439439,94.654157,7.704167,9.692423;28.169754;56.791980,0.913738,0.816587
0.02,0.02,7,greedy_cover,101,0.208884,0.510026,90.922239,7.704167,9.365421;24.764838;56.791980,0.918530,0.822967
0.02,0.02,7,ilp_optimal,102,0.157841,0.439439,94.654157,7.704167,9.692423;28.169754;56.791980,0.913738,0.816587
0.02,0.02,8,greedy_cover,101,0.208884,0.510026,90.922239,7.704167,9.365421;24.764838;56.791980,0.918530,0.822967
0.02,0.02,8,ilp_optimal,102,0.157841,0.439439,94.654157,7.704167,9.692423;28.169754;56.791980,0.913738,0.816587
0.02,0.02,9,greedy_cover,101,0.208884,0.510026,90.922239,7.704167,9.365421;24.764838;56.791980,0.918530,0.822967
0.02,0.02,9,ilp_optimal,102,0.157841,0.439439,94.654157,7.704167,9.692423;28.169754;56.791980,0.913738,0.816587
0.02,0.02,10,greedy_cover,101,0.208884,0.510026,90.922239,7.704167,9.365421;24.764838;56.791980,0.918530,0.822967
0.02,0.02,10,ilp_optimal,102,0.157841,0.439439,94.654157,7.704167,9.692423;28.169754;56.791980,0.913738,0.816587
0.02,0.05,4,greedy_cover,102,0.209931,0.510820,91.811474,7.704167,9.365421;25.855187;56.590865,0.918530,0.826156
0.02,0.05,4,ilp_optimal,102,0.158407,0.441518,95.303827,7.704167,9.692423;29.020539;56.590865,0.913738,0.814992
0.02,0.05,5,greedy_cover,102,0.209931,0.510820,91.811474,7.704167,9.365421;25.855187;56.590865,0.918530,0.826156
0.02,0.05,5,ilp_optimal,102,0.158407,0.441518,95.303827,7.704167,9.692423;29.020539;56.590865,0.913738,0.814992
0.02,0.05,6,greedy_cover,102,0.209931,0.510820,91.811474,7.704167,9.365421;25.855187;56.590865,0.918530,0.826156
0.02,0.05,6,ilp_optimal,102,0.158407,0.441518,95.303827,7.704167,9.692423;29.020539;56.590865,0.913738,0.814992
0.02,0.05,7,greedy_cover,102,0.209931,0.510820,91.811474,7.704167,9.365421;25.855187;56.590865,0.918530,0.826156
0.02,0.05,7,ilp_optimal,102,0.158407,0.441518,95.303827,7.704167,9.692423;29.020539;56.590865,0.913738,0.814992
0.02,0.05,8,greedy_cover,102,0.209931,0.510820,91.811474,7.704167,9.365421;25.855187;56.590865,0.918530,0.826156
0.02,0.05,8,ilp_optimal,102,0.158407,0.441518,95.303827,7.704167,9.692423;29.020539;56.590865,0.913738,0.814992
0.02,0.05,9,greedy_cover,102,0.209931,0.510820,91.811474,7.704167,9.365421;25.855187;56.590865,0.918530,0.826156
0.02,0.05,9,ilp_optimal,102,0.158407,0.441518,95.303827,7.704167,9.692423;29.020539;56.590865,0.913738,0.814992
0.02,0.05,10,greedy_cover,102,0.209931,0.510820,91.811474,7.704167,9.365421;25.855187;56.590865,0.918530,0.826156
0.02,0.05,10,ilp_optimal,102,0.158407,0.441518,95.303827,7.704167,9.692423;29.020539;56.590865,0.913738,0.814992
0.02,0.1,4,greedy_cover,94,0.182453,0.510712,80.443457,7.704167,2.046319;25.587372;52.809765,0.907348,0.808612
0.02,0.1,4,ilp_optimal,89,0.156411,0.467377,68.925645,7.704167,2.555708;29.554492;36.815445,0.912141,0.800638
0.02,0.1,5,greedy_cover,94,0.182453,0.510712,80.443457,7.704167,2.046319;25.587372;52.809765,0.907348,0.808612
0.02,0.1,5,ilp_optimal,89,0.156411,0.467377,68.925645,7.704167,2.555708;29.554492;36.815445,0.912141,0.800638
0.02,0.1,6,greedy_cover,94,0.182453,0.510712,80.443457,7.704167,2.046319;25.587372;52.809765,0.907348,0.808612
0.02,0.1,6,ilp_optimal,89,0.156411,0.467377,68.925645,7.704167,2.555708;29.554492;36.815445,0.912141,0.800638
0.02,0.1,7,greedy_cover,94,0.182453,0.510712,80.443457,7.704167,2.046319;25.587372;52.809765,0.907348,0.808612
0.02,0.1,7,ilp_optimal,89,0.156411,0.467377,68.925645,7.704167,2.555708;29.554492;36.815445,0.912141,0.800638
0.02,0.1,8,greedy_cover,94,0.182453,0.510712,80.443457,7.704167,2.046319;25.587372;52.809765,0.907348,0.808612
0.02,0.1,8,ilp_optimal,89,0.156411,0.467377,68.925645,7.704167,2.555708;29.554492;36.815445,0.912141,0.800638
0.02,0.1,9,greedy_cover,94,0.182453,0.510712,80.443457,7.704167,2.046319;25.587372;52.809765,0.907348,0.808612
0.02,0.1,9,ilp_optimal,89,0.156411,0.467377,68.925645,7.704167,2.555708;29.554492;36.815445,0.912141,0.800638
0.02,0.1,10,greedy_cover,94,0.182453,0.510712,80.443457,7.704167,2.046319;25.587372;52.809765,0.907348,0.808612
0.02,0.1,10,ilp_optimal,89,0.156411,0.467377,68.925645,7.704167,2.555708;29.554492;36.815445,0.912141,0.800638
0.05,0.005,4,greedy_cover,96,0.232895,0.556334,85.661769,7.704167,2.228707;26.641083;56.791980,0.912141,0.819777
